Institution,Country,Disputed items,More Info
British Museum,United Kingdom,944,https://digitalbenin.org/institutions/5
"Ethnologisches Museum, Staatliche Museen zu Berlin",Germany,518,https://digitalbenin.org/institutions/13
Field Museum,United States,393,https://digitalbenin.org/institutions/15
"Museum of Archaeology and Anthropology, University of Cambridge",United Kingdom,350,https://digitalbenin.org/institutions/28
"National Museum, Benin",Nigeria,285,https://digitalbenin.org/institutions/36
Staatliche Ethnographische Sammlungen Sachsen und Staatliche Kunstsammlungen Dresden,Germany,283,https://digitalbenin.org/institutions/47
Weltmuseum Wien,Austria,202,https://digitalbenin.org/institutions/50
University of Pennsylvania Museum of Archaeology and Anthropology (Penn Museum),United States,188,https://digitalbenin.org/institutions/49
MARKK Museum am Rothenbaum Kulturen und Künste der Welt,Germany,179,https://digitalbenin.org/institutions/24
Metropolitan Museum of Art,United States,154,https://digitalbenin.org/institutions/22
Pitt Rivers Museum,United Kingdom,148,https://digitalbenin.org/institutions/42
Nationaal Museum van Wereldculturen and Wereldmuseum,Netherlands,122,https://digitalbenin.org/institutions/34
Rautenstrauch-Joest-Museum,Germany,92,https://digitalbenin.org/institutions/43
"National Museum, Lagos",Nigeria,81,https://digitalbenin.org/institutions/37
National Museums Scotland,United Kingdom,74,https://digitalbenin.org/institutions/35
Horniman Museum and Gardens,United Kingdom,72,https://digitalbenin.org/institutions/17
"National Museums Liverpool, World Museum",United Kingdom,71,https://digitalbenin.org/institutions/51
"Linden-Museum Stuttgart, Staatliches Museum für Völkerkunde",Germany,69,https://digitalbenin.org/institutions/20
Fowler Museum at UCLA,United States,64,https://digitalbenin.org/institutions/16
Weltkulturen Museum Frankfurt am Main,Germany,55,https://digitalbenin.org/institutions/146
"Världskultur Museerna, National Museums of World Culture",Sweden,53,https://digitalbenin.org/institutions/29
American Museum of Natural History,United States,48,https://digitalbenin.org/institutions/121
National Museum of Ireland,Ireland,46,https://digitalbenin.org/institutions/187
Peabody Museum of Archaeology and Ethnology at Harvard University,United States,43,https://digitalbenin.org/institutions/41
Smithsonian National Museum of African Art,United States,37,https://digitalbenin.org/institutions/32
musée du quai Branly - Jacques Chirac,France,35,https://digitalbenin.org/institutions/185
"Reiss-Engelhorn-Museen, Museum Weltkulturen",Germany,32,https://digitalbenin.org/institutions/156
Glasgow Museums (Kelvingrove Art Gallery and Museum),United Kingdom,32,https://digitalbenin.org/institutions/53
Peter the Great Museum of Anthropology and Ethnography (the Kunstkamera),Russia,28,https://digitalbenin.org/institutions/198
"Museum Fünf Kontinente, Staatliche Museen in Bayern",Germany,24,https://digitalbenin.org/institutions/26
"UiO, Museum of Cultural History, University of Oslo",Norway,23,https://digitalbenin.org/institutions/194
Manchester Museum,United Kingdom,23,https://digitalbenin.org/institutions/21
Brooklyn Museum,United States,23,https://digitalbenin.org/institutions/6
Museum der Kulturen Basel,Switzerland,20,https://digitalbenin.org/institutions/25
Übersee-Museum Bremen,Germany,18,https://digitalbenin.org/institutions/140
Royal Pavilion & Museums Trust,United Kingdom,18,https://digitalbenin.org/institutions/57
Völkerkundemuseum der Universität Zürich,Switzerland,17,https://digitalbenin.org/institutions/27
Smithsonian National Museum of Natural History,United States,16,https://digitalbenin.org/institutions/225
Indianapolis Museum of Art at Newfields,United States,15,https://digitalbenin.org/institutions/112
Canterbury Museum,New Zealand,15,https://digitalbenin.org/institutions/332
Science Museum,United Kingdom,14,https://digitalbenin.org/institutions/326
Museum Rietberg Zürich,Switzerland,14,https://digitalbenin.org/institutions/44
Powell-Cotton Museum,United Kingdom,13,https://digitalbenin.org/institutions/88
Seattle Art Museum,United States,12,https://digitalbenin.org/institutions/133
Städtische Museen Freiburg,Germany,10,https://digitalbenin.org/institutions/147
Ipswich Museum,United Kingdom,10,https://digitalbenin.org/institutions/70
Völkerkundesammlung,Germany,9,https://digitalbenin.org/institutions/155
National Gallery of Australia,Australia,9,https://digitalbenin.org/institutions/331
The Israel Museum,Israel,9,https://digitalbenin.org/institutions/343
Historisches und Völkerkundemuseum St. Gallen,Switzerland,8,https://digitalbenin.org/institutions/210
"Research and Cultural Collections, University of Birmingham",United Kingdom,8,https://digitalbenin.org/institutions/252
New Orleans Museum of Art,United States,8,https://digitalbenin.org/institutions/38
Cleveland Museum of Art,United States,8,https://digitalbenin.org/institutions/8
Sainsbury Centre for Visual Arts,United Kingdom,8,https://digitalbenin.org/institutions/90
Buffalo Museum of Sciences,United States,7,https://digitalbenin.org/institutions/103
Sidney and Lois Eskenazi Museum of Art,United States,7,https://digitalbenin.org/institutions/12
Musée d'Ethnographie de Genève,Switzerland,7,https://digitalbenin.org/institutions/208
"Museum of Fine Arts, Boston",United States,7,https://digitalbenin.org/institutions/30
Art Institute of Chicago,United States,7,https://digitalbenin.org/institutions/48
Detroit Institute of Arts,United States,6,https://digitalbenin.org/institutions/111
"Stanley Museum of Art, University of Iowa",United States,6,https://digitalbenin.org/institutions/113
Städtisches Museum Braunschweig,Germany,5,https://digitalbenin.org/institutions/139
Museum Ulm,Germany,5,https://digitalbenin.org/institutions/161
Musée des beaux-arts,Canada,5,https://digitalbenin.org/institutions/180
"Nationalmuseet, National Museum of Denmark",Denmark,5,https://digitalbenin.org/institutions/183
North Carolina Museum of Art,United States,5,https://digitalbenin.org/institutions/39
Roemer- und Pelizaeus-Museum Hildesheim,Germany,4,https://digitalbenin.org/institutions/153
South Australian Museum,Australia,4,https://digitalbenin.org/institutions/172
MIM Musical Instrument Museum,Belgium,4,https://digitalbenin.org/institutions/177
"AfricaMuseum, Royal Museum for Central Africa",Belgium,4,https://digitalbenin.org/institutions/178
Princeton University Art Museum,United States,4,https://digitalbenin.org/institutions/218
Royal Ontario Museum,Canada,4,https://digitalbenin.org/institutions/45
Dallas Museum of Art,United States,4,https://digitalbenin.org/institutions/9
de Young museum,United States,3,https://digitalbenin.org/institutions/10
Denver Art Museum,United States,3,https://digitalbenin.org/institutions/110
Minneapolis Institute of Arts,United States,3,https://digitalbenin.org/institutions/117
Sam Noble Oklahoma Museum of Natural History (formerly Stovall Museum),United States,3,https://digitalbenin.org/institutions/124
Baltimore Museum of Art,United States,3,https://digitalbenin.org/institutions/2
Bernisches Historisches Museum,Switzerland,3,https://digitalbenin.org/institutions/207
Nelson-Atkins Museum of Art,United States,3,https://digitalbenin.org/institutions/216
Barnes Foundation,United States,3,https://digitalbenin.org/institutions/240
Davis Museum at Wellesley College,United States,3,https://digitalbenin.org/institutions/241
"SLAM, Saint Louis Art Museum",United States,3,https://digitalbenin.org/institutions/247
"Patricia & Phillip Frost Art Museum, Florida International University",United States,3,https://digitalbenin.org/institutions/276
Royal Armouries,United Kingdom,3,https://digitalbenin.org/institutions/78
Royal Museums Greenwich,United Kingdom,3,https://digitalbenin.org/institutions/79
Royal Albert Memorial Museum & Art Gallery (RAMM),United Kingdom,3,https://digitalbenin.org/institutions/91
"HMA, Haffenreffer Museum of Anthropology at Brown University",United States,2,https://digitalbenin.org/institutions/131
Museum aan de Stroom,Belgium,2,https://digitalbenin.org/institutions/176
Harvard Art Museums,United States,2,https://digitalbenin.org/institutions/237
Krannert Art Museum | University of Illinois at Urbana-Champaign,United States,2,https://digitalbenin.org/institutions/319
Bristol Museum & Art Gallery,United Kingdom,2,https://digitalbenin.org/institutions/4
Yale University Art Gallery,United States,2,https://digitalbenin.org/institutions/52
Birmingham Museums Trust,United Kingdom,2,https://digitalbenin.org/institutions/56
"Calderdale Museums, Bankfield Museum",United Kingdom,2,https://digitalbenin.org/institutions/67
Warrington Museum and Art Gallery,United Kingdom,2,https://digitalbenin.org/institutions/97
Royal Collection Trust,United Kingdom,2,https://digitalbenin.org/institutions/98
"Phoebe A. Hearst Museum of Anthropology, University of California at Berkeley",United States,1,https://digitalbenin.org/institutions/100
Hood Museum of Art,United States,1,https://digitalbenin.org/institutions/109
LACMA The Los Angeles County Museum of Art,United States,1,https://digitalbenin.org/institutions/114
Newark Museum of Art,United States,1,https://digitalbenin.org/institutions/118
"Allen Memorial Art Museum, Oberlin College",United States,1,https://digitalbenin.org/institutions/125
Carnegie Museum of Art,United States,1,https://digitalbenin.org/institutions/128
"RISD Museum, Museum of Art at Rhode Island School of Design",United States,1,https://digitalbenin.org/institutions/130
Institut für Ethnologie und Ethnologische Sammlung der Universität Göttingen,Germany,1,https://digitalbenin.org/institutions/148
"Landesmuseum Hannover, Das WeltenMuseum",Germany,1,https://digitalbenin.org/institutions/151
Canadian Museum of History / Musée canadien de l’histoire,Canada,1,https://digitalbenin.org/institutions/179
"Institut für Ethnologie und Afrikastudien, Johannes Gutenberg-Universität Mainz",Germany,1,https://digitalbenin.org/institutions/18
Museum of Anthropology at UBC,Canada,1,https://digitalbenin.org/institutions/182
Hunt Museum,Ireland,1,https://digitalbenin.org/institutions/188
Gustavianum - Uppsala University Museum,Sweden,1,https://digitalbenin.org/institutions/205
Musée d'Ethnographie de Neuchâtel,Switzerland,1,https://digitalbenin.org/institutions/209
"Fleming Museum of Art, University of Vermont",United States,1,https://digitalbenin.org/institutions/220
"Michael C. Carlos Museum, Emory University",United States,1,https://digitalbenin.org/institutions/23
Museum Folkwang,Germany,1,https://digitalbenin.org/institutions/265
National Gallery of Art,United States,1,https://digitalbenin.org/institutions/277
Musée national Picasso Paris,France,1,https://digitalbenin.org/institutions/290
Museu Nacional de Etnologia,Portugal,1,https://digitalbenin.org/institutions/296
Barber Institute of Fine Arts,United Kingdom,1,https://digitalbenin.org/institutions/3
"VMFA, Virginia Museum of Fine Arts",United States,1,https://digitalbenin.org/institutions/310
Muzeum Narodowe w Szczecinie,Poland,1,https://digitalbenin.org/institutions/324
"National Archives, John F. Kennedy Presidential Library and Museum",United States,1,https://digitalbenin.org/institutions/327
"Musée de la musique, Cité de la Musique - Philharmonie de Paris",France,1,https://digitalbenin.org/institutions/329
Toledo Museum of Art,United States,1,https://digitalbenin.org/institutions/330
Northampton Museums and Art Gallery,United Kingdom,1,https://digitalbenin.org/institutions/337
Al Thani Collection,France,1,https://digitalbenin.org/institutions/344
Speed Art Museum,United States,1,https://digitalbenin.org/institutions/345
"Niedersächsische Landesmuseen Oldenburg, Landesmuseum Natur und Mensch Oldenburg",Germany,1,https://digitalbenin.org/institutions/346
Hull Museums,United Kingdom,1,https://digitalbenin.org/institutions/69
Great North Museum: Hancock,United Kingdom,1,https://digitalbenin.org/institutions/84
"Museums and Special Collections, University of Aberdeen",United Kingdom,1,https://digitalbenin.org/institutions/92
